ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
8. Series de índices enlazados  de la producción nominal y real,  ventas nominal y real  y empleo (total y por área funcional),  clase industrial: Fabricación de otros productos químicos;;;;;;;;;;
2001 enero - 2019 Diciembrep;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicación Febrero 13 de 2020;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;AÑO;MES ;Clases industriales;"Producción 
nominal";"Producción 
real";"Ventas
nominal";"Ventas
reales";Empleo  Total;"Personal de 
Administración";"Personal de 
Producción"
2020d;2001;1;Fabricación de otros productos químicos;33,1;63,7;35,3;67,5;92;113;78,3
2020d;2001;2;Fabricación de otros productos químicos;40,4;75,6;41,4;77,7;95,3;116,3;81,4
2020d;2001;3;Fabricación de otros productos químicos;47,5;87,8;46,8;86,3;94,7;115,2;80,8
2020d;2001;4;Fabricación de otros productos químicos;44,9;82,8;42,7;78,9;96,8;118,4;82,2
2020d;2001;5;Fabricación de otros productos químicos;48,2;88,3;49,3;90,2;95,2;117;80,4
2020d;2001;6;Fabricación de otros productos químicos;46,9;86,2;48,6;90;94,9;119,4;78,7
2020d;2001;7;Fabricación de otros productos químicos;43,7;80,2;52,5;96,7;94,7;118,7;78,5
2020d;2001;8;Fabricación de otros productos químicos;44;81;44,2;81,4;94,2;117,8;77,8
2020d;2001;9;Fabricación de otros productos químicos;46,2;84,3;45,8;83,7;93,6;117,8;77
2020d;2001;10;Fabricación de otros productos químicos;48;86,2;46,9;84,4;95,7;121,4;78
2020d;2001;11;Fabricación de otros productos químicos;47,9;85,9;55;99,2;96,2;120,7;79,3
2020d;2001;12;Fabricación de otros productos químicos;40,9;72,6;47,4;84,1;95,9;119,4;79,3
2020d;2002;1;Fabricación de otros productos químicos;40,9;74;37,5;67,7;89,9;112,6;74,8
2020d;2002;2;Fabricación de otros productos químicos;44,4;78,4;41,6;73,7;95,1;118,1;79,5
2020d;2002;3;Fabricación de otros productos químicos;43,5;76,4;43,5;76,2;94,4;115,7;79,8
2020d;2002;4;Fabricación de otros productos químicos;51,4;90,5;50,3;88,6;93,7;116,3;78,3
2020d;2002;5;Fabricación de otros productos químicos;48;84,6;50,4;88,6;93,2;116,5;77,3
2020d;2002;6;Fabricación de otros productos químicos;46,9;82,7;52,8;93,6;92,1;116,3;76
2020d;2002;7;Fabricación de otros productos químicos;47,1;82,1;48,1;84,2;91,4;114,4;75,9
2020d;2002;8;Fabricación de otros productos químicos;47,1;81,9;51,8;90,2;91,9;113,5;76,8
2020d;2002;9;Fabricación de otros productos químicos;47,6;81,6;52,5;90,3;91,9;114,4;76,5
2020d;2002;10;Fabricación de otros productos químicos;49,8;84,1;53,3;90,2;93,6;118,3;76,6
2020d;2002;11;Fabricación de otros productos químicos;45,6;77,3;58;98,8;92,4;114,7;77
